symbol,publishedDate,title,image,site,text,url
BALL,2024-04-26 12:05:27,"Ball Corp (BALL) Tops on Q1 Earnings, Completes Aerospace Sale",https://cdn.snapi.dev/images/v1/f/q/644-2394667.jpg,Zacks Investment Research,Ball Corp (BALL) Q1 results reflect lower volumes across most segments due to the contractual pass-through of lower aluminum costs.,https://www.zacks.com/stock/news/2263528/ball-corp-ball-tops-on-q1-earnings-completes-aerospace-sale?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2263528
BALL,2024-04-26 10:36:18,Ball (BALL) Q1 Earnings: How Key Metrics Compare to Wall Street Estimates,https://cdn.snapi.dev/images/v1/a/l/default45-2394444.jpg,Zacks Investment Research,"Although the revenue and EPS for Ball (BALL) give a sense of how its business performed in the quarter ended March 2024, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://www.zacks.com/stock/news/2263199/ball-ball-q1-earnings-how-key-metrics-compare-to-wall-street-estimates?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm-2263199
BALL,2024-04-25 09:41:05,Why Earnings Season Could Be Great for Ball Corp (BALL),https://cdn.snapi.dev/images/v1/r/t/1254-2391281.jpg,Zacks Investment Research,Ball Corp (BALL) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,https://www.zacks.com/stock/news/2261974/why-earnings-season-could-be-great-for-ball-corp-ball?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|earnings_surprise-2261974
BALL,2024-04-23 13:06:03,Analyzing Q1 Earnings Beat or Miss for CAT & Four Industrial Stocks,https://cdn.snapi.dev/images/v1/x/s/649-2386222.jpg,Zacks Investment Research,"Here is a sneak peek into how major five industrial products stocks, CAT, GWW, DOV, BALL and AVY, are expected to fare in their quarterly results slated to be released this week.",https://www.zacks.com/stock/news/2260525/analyzing-q1-earnings-beat-or-miss-for-cat-four-industrial-stocks?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_preview_-_esp-2260525
BALL,2024-04-23 10:21:32,"Exploring Analyst Estimates for Ball (BALL) Q1 Earnings, Beyond Revenue and EPS",https://cdn.snapi.dev/images/v1/z/z/default17-2385671.jpg,Zacks Investment Research,"Beyond analysts' top -and-bottom-line estimates for Ball (BALL), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended March 2024.",https://www.zacks.com/stock/news/2259951/exploring-analyst-estimates-for-ball-ball-q1-earnings-beyond-revenue-and-eps?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm_preview-2259951
BALL,2024-04-22 12:50:21,Ball Corp (BALL) to Report Q1 Earnings: What's in Store?,https://cdn.snapi.dev/images/v1/n/l/13457-2383749.jpg,Zacks Investment Research,"Ball Corp's (BALL) Q1 results are likely to reflect the impacts of the recent decline in customer demand, partially offset by positive pricing.",https://www.zacks.com/stock/news/2259514/ball-corp-ball-to-report-q1-earnings-what-s-in-store?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_preview-2259514
BALL,2024-04-19 11:06:12,Analysts Estimate Ball (BALL) to Report a Decline in Earnings: What to Look Out for,https://cdn.snapi.dev/images/v1/b/v/default0-2380891.jpg,Zacks Investment Research,Ball (BALL) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://www.zacks.com/stock/news/2258508/analysts-estimate-ball-ball-to-report-a-decline-in-earnings-what-to-look-out-for?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_9-2258508
BALL,2024-04-10 13:16:12,Why Ball (BALL) is Poised to Beat Earnings Estimates Again,https://cdn.snapi.dev/images/v1/d/e/default3-2365885.jpg,Zacks Investment Research,Ball (BALL) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,https://www.zacks.com/stock/news/2253543/why-ball-ball-is-poised-to-beat-earnings-estimates-again?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_7-2253543
BALL,2024-03-26 17:30:00,"Ball to Announce First Quarter Earnings on April 26, 2024",https://cdn.snapi.dev/images/v1/x/q/conf5-2342929.jpg,PRNewsWire,"WESTMINSTER, Colo. , March 26, 2024 /PRNewswire/ -- Ball Corporation (NYSE: BALL) will announce its first quarter 2024 earnings on Friday, April 26th, 2024 before trading begins on the New York Stock Exchange.",https://www.prnewswire.com/news-releases/ball-to-announce-first-quarter-earnings-on-april-26-2024-302100230.html
BALL,2024-03-26 10:41:10,Ball (BALL) is a Top-Ranked Value Stock: Should You Buy?,https://cdn.snapi.dev/images/v1/k/c/default9-2342106.jpg,Zacks Investment Research,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",https://www.zacks.com/stock/news/2246005/ball-ball-is-a-top-ranked-value-stock-should-you-buy?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|zacks_education_value_score-2246005
