symbol,publishedDate,title,image,site,text,url
BLK,2024-04-27 11:08:00,"BlackRock CEO Larry Fink Says the U.S. Retirement System Is ""Under Immense Strain."" 3 Ways to Build a Retirement Plan That Can Last in Any Economic Climate",https://cdn.snapi.dev/images/v1/w/1/urlhttps3a2f2fgfoolcdncom2fedi-2395762.jpg,The Motley Fool,Taking Roth IRA withdrawals can help lower your Social Security tax burden. Money in HSAs can be used for non-qualified medical expenses once you turn 65.,https://www.fool.com/retirement/2024/04/27/blackrock-ceo-larry-fink-says-the-us-retirement-sy/
BLK,2024-04-25 05:24:36,"AI-Fueled Stocks Rally Has Further to Go, BlackRock's Wei Li Says",https://cdn.snapi.dev/images/v1/g/u/ai-fueled-stocks-rally-has-further-to-go-blackrocks-wei-li-says-2390333.jpg,Bloomberg Markets and Finance,"BlackRock Global Chief Investment Strategist Wei Li comments on the earnings season, the impact of artificial intelligence and how it plays into the 2024 equities rally. ""I think there is greater runway for AI adoption to not only play out further in this Magnificent Seven, but beyond the tech sector in other sectors like healthcare, financials and industrials as well,"" Li said on Bloomberg Television.",https://www.youtube.com/watch?v=md-wywwgSI8
BLK,2024-04-24 11:54:38,HBAR Crypto Drama: How a BlackRock Report Sent Hedera Token on a Wild Ride,https://cdn.snapi.dev/images/v1/h/f/hbar-1-2388812.jpg,InvestorPlace,Hedera ( HBAR-USD ) crypto has been incredibly volatile recently after a misunderstanding resulted in the token soaring higher yesterday. The confusion came from a BlackRock (NYSE: BLK ) report about the firm handling its tokenizing its first money market fund.,https://investorplace.com/2024/04/hbar-crypto-drama-how-a-blackrock-report-sent-hedera-token-on-a-wild-ride/
BLK,2024-04-24 07:45:00,Doubling Down On Telus In Smith Maneuver - March 2024 Dividend Income Report,https://cdn.snapi.dev/images/v1/4/0/computer-electronic17-2387757.jpg,Seeking Alpha,Doubling Down On Telus In Smith Maneuver - March 2024 Dividend Income Report,https://seekingalpha.com/article/4685601-doubling-down-on-telus-in-smith-maneuver-march-2024-dividend-income-report
BLK,2024-04-22 15:11:00,BlackRock's Rieder Envisions Two Fed Rate Cuts This Year,https://cdn.snapi.dev/images/v1/3/i/blackrocks-rieder-envisions-two-fed-rate-cuts-this-year-2384011.jpg,Bloomberg Markets and Finance,"BlackRock CIO of of global fixed income Rick Rieder says BlackRock has cut its own interest-rate exposure, weighting investments more to shorter maturities, and envisions the Fed being able to lower interest rates twice this year as inflation moderates in the months ahead. He speaks with Katie Greifeld, Tim Stenovec and Eric Balchunas on ""ETF IQ.",https://www.youtube.com/watch?v=asyh1CDN86Y
BLK,2024-04-22 13:25:10,BlackRock triples spending on security for CEO Larry Fink due to ESG backlash,https://cdn.snapi.dev/images/v1/j/a/wp-content2fuploads2fsites2f22-2383846.jpg,New York Post,BlackRock increased spending on private security for CEO Larry Fink more than threefold last year after he came under withering criticism.,https://nypost.com/2024/04/22/business/blackrock-triples-spending-on-security-for-ceo-larry-fink/
BLK,2024-04-22 04:18:54,Equities Can Still Perform Well Despite Rates: BlackRock,https://cdn.snapi.dev/images/v1/u/k/equities-can-still-perform-well-despite-rates-blackrock-2382418.jpg,Bloomberg Markets and Finance,"BlackRock's Helen Jewell discusses the significance of this week's earnings from the Magnificent Seven tech companies, saying that those numbers have become ""almost more important than anything from a macro perspective."" She also talks about the strength of the US dollar and says ""it isn't a bad thing"" for multinationals in Europe.",https://www.youtube.com/watch?v=V4yOp6ROYs0
BLK,2024-04-22 01:12:10,"Global energy transition will require $4 trillion annually by next decade, BlackRock says",https://cdn.snapi.dev/images/v1/1/k/106864640-16177940612021-04-06-2382325.jpeg,CNBC,"BlackRock estimates that the world's green energy transition will require $4 trillion annually by the mid-2030s, calling for more public-private partnerships.",https://www.cnbc.com/2024/04/22/energy-transition-to-need-4-trillion-annually-blackrock.html
BLK,2024-04-20 10:00:17,BlackRock strategist: It's time to start moving out of cash and into fixed income,https://cdn.snapi.dev/images/v1/o/k/blackrock-strategist-its-time-to-start-moving-out-of-cash-and-into-fixed-income-2381850.jpg,Yahoo Finance,"Federal Reserve rate cut expectations are diminishing, with the markets scaling back from their original forecasts of six rate reductions in 2024. BlackRock's Global Co-Head of Bond ETFs Steve Laipply shares his insights on the fixed income landscape amid the growing uncertainty surrounding the Fed's policy path.",https://www.youtube.com/watch?v=QLElZn1LWx8
BLK,2024-04-20 08:09:37,Blackrock: An Attractive Setup To Buy A Globally Leading Franchise,https://cdn.snapi.dev/images/v1/1/b/image-1219303761-2381793.jpg,Seeking Alpha,"BlackRock outperformed estimates in Q1 2024, as the world's leading investment franchise saw its revenues, operating earnings, and AUM grow by 11%, 18%, and 15% YoY, respectively. Buoyed by these robust results and positive management outlook for FY 2024, BlackRock is well-positioned for significant earnings growth. My optimism for revenue/ earnings growth acceleration is fueled by a revitalized bull market, which is expected to boost asset management levels and expand fee income.",https://seekingalpha.com/article/4684880-blackrock-an-attractive-setup-to-buy-a-globally-leading-franchise
