symbol,publishedDate,title,image,site,text,url
DOV,2024-04-25 12:28:12,Dover Corporation (DOV) Q1 2024 Earnings Call Transcript,https://cdn.snapi.dev/images/v1/9/n/transcript15-2392026.jpg,Seeking Alpha,"Dover Corporation (NYSE:DOV ) Q1 2024 Earnings Conference Call April 25, 2024 9:30 AM ET Company Participants Jack Dickens - Senior Director, Investor Relations. Richard Tobin - President and Chief Executive Officer Brad Cerepak - Senior Vice President and Chief Financial Officer Conference Call Participants Mike Halloran - Baird Steve Tusa - JPMorgan Julian Mitchell - Barclays Brett Linzey - Mizuho Joe Ritchie - Goldman Sachs Andy Kaplowitz - Citigroup David Ridley-Lane - Bank of America Jeff Sprague - Vertical Research Partners Scott Davis - Melius Research Joe O'Dea - Wells Fargo Deane Dray - RBC Capital Markets Operator Good morning, and welcome to Dover's First Quarter 2024 Earnings Conference Call.",https://seekingalpha.com/article/4686183-dover-corporation-dov-q1-2024-earnings-call-transcript
DOV,2024-04-25 12:21:09,"Dover (DOV) Earnings Beat Estimates in Q1, Increase Y/Y",https://cdn.snapi.dev/images/v1/t/w/644-2391978.jpg,Zacks Investment Research,Dover (DOV) expects adjusted EPS between $9.00 and $9.15 for 2024.,https://www.zacks.com/stock/news/2262590/dover-dov-earnings-beat-estimates-in-q1-increase-y-y?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2262590
DOV,2024-04-25 08:41:08,Dover Corporation (DOV) Beats Q1 Earnings and Revenue Estimates,https://cdn.snapi.dev/images/v1/x/r/default45-2391050.jpg,Zacks Investment Research,"Dover Corporation (DOV) came out with quarterly earnings of $1.95 per share, beating the Zacks Consensus Estimate of $1.88 per share. This compares to earnings of $1.94 per share a year ago.",https://www.zacks.com/stock/news/2261911/dover-corporation-dov-beats-q1-earnings-and-revenue-estimates?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_4-2261911
DOV,2024-04-23 13:06:03,Analyzing Q1 Earnings Beat or Miss for CAT & Four Industrial Stocks,https://cdn.snapi.dev/images/v1/x/s/649-2386222.jpg,Zacks Investment Research,"Here is a sneak peek into how major five industrial products stocks, CAT, GWW, DOV, BALL and AVY, are expected to fare in their quarterly results slated to be released this week.",https://www.zacks.com/stock/news/2260525/analyzing-q1-earnings-beat-or-miss-for-cat-four-industrial-stocks?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_preview_-_esp-2260525
DOV,2024-04-19 11:40:18,Dover (DOV) to Report Q1 Earnings: What's in the Offing?,https://cdn.snapi.dev/images/v1/d/w/13052-2380986.jpg,Zacks Investment Research,"Dover's (DOV) first-quarter results are expected to reflect the benefits of strong order trends across segments, partially offset by higher costs.",https://www.zacks.com/stock/news/2258613/dover-dov-to-report-q1-earnings-what-s-in-the-offing?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_preview-2258613
DOV,2024-04-18 11:08:26,Earnings Preview: Dover Corporation (DOV) Q1 Earnings Expected to Decline,https://cdn.snapi.dev/images/v1/j/y/default7-2378747.jpg,Zacks Investment Research,Dover (DOV) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://www.zacks.com/stock/news/2257779/earnings-preview-dover-corporation-dov-q1-earnings-expected-to-decline?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_9-2257779
DOV,2024-04-03 11:11:14,Dover (DOV) Closes Sale of DESTACO Business to Stabilus,https://cdn.snapi.dev/images/v1/y/u/376-2354650.jpg,Zacks Investment Research,Dover (DOV) sells its DESTACO business to focus better on core platforms.,https://www.zacks.com/stock/news/2249885/dover-dov-closes-sale-of-destaco-business-to-stabilus?cid=CS-STOCKNEWSAPI-FT-analyst_blog|company_news_-_corporate_actions-2249885
DOV,2024-03-05 02:26:19,Dover Corporation Is Not A Buy At Its New High,https://cdn.snapi.dev/images/v1/q/y/diversified-machinery3-2307769.jpg,Seeking Alpha,While Dover Corp. has an impressive dividend history it is currently yielding only 1.2%. The company's actual business model is the buying and selling of companies. The current P/E is 18.7x based on management's EPS guidance for 2024.,https://seekingalpha.com/article/4675869-dover-corporation-stock-not-a-buy-at-its-new-high
DOV,2024-02-14 16:15:00,Dover to Participate in Upcoming Investor Conferences,https://cdn.snapi.dev/images/v1/b/d/conf12-2276790.jpg,PRNewsWire,"DOWNERS GROVE, Ill. , Feb. 14, 2024 /PRNewswire/ -- Dover (NYSE: DOV) announced that its Chairman, President and Chief Executive Officer, Richard J.",https://www.prnewswire.com/news-releases/dover-to-participate-in-upcoming-investor-conferences-302062255.html
DOV,2024-02-03 10:04:59,Dover Corporation: The Dividend King Shines Bright,https://cdn.snapi.dev/images/v1/k/q/image-1488909706-2258899.jpg,Seeking Alpha,"Dover Corporation is a Dividend King with close to 70 consecutive annual dividend hikes. Dividend Kings provide stability, reliable income, inflation hedge, and long-term growth potential for investors. Dover Corporation's recent earnings show positive trends in earnings, free cash flow, and strategic acquisitions, making it a compelling choice for investors.",https://seekingalpha.com/article/4667301-dover-dividend-king-shines-bright
DOV,2024-02-01 13:41:10,"Dover (DOV) Earnings Beat Estimates in Q4, Revenues Dip Y/Y",https://cdn.snapi.dev/images/v1/d/h/644-2256235.jpg,Zacks Investment Research,Dover (DOV) sees year-over-year improvement in fourth-quarter earnings despite a fall in revenues due to its cost-control efforts.,https://www.zacks.com/stock/news/2219775/dover-dov-earnings-beat-estimates-in-q4-revenues-dip-y-y?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2219775
DOV,2024-02-01 12:46:04,Dover Corporation (DOV) Q4 2023 Earnings Call Transcript,https://cdn.snapi.dev/images/v1/h/8/transcript42-2256130.jpg,Seeking Alpha,Dover Corporation (DOV) Q4 2023 Earnings Call Transcript,https://seekingalpha.com/article/4666776-dover-corporation-dov-q4-2023-earnings-call-transcript
DOV,2024-02-01 10:37:12,Here's What Key Metrics Tell Us About Dover Corporation (DOV) Q4 Earnings,https://cdn.snapi.dev/images/v1/p/m/default32-2255759.jpg,Zacks Investment Research,"Although the revenue and EPS for Dover Corporation (DOV) give a sense of how its business performed in the quarter ended December 2023, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://www.zacks.com/stock/news/2219440/here-s-what-key-metrics-tell-us-about-dover-corporation-dov-q4-earnings?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm-2219440
