symbol,publishedDate,title,image,site,text,url
PGR,2024-04-26 09:51:30,Sail Through Market Volatility With These 4 Low-Beta Stocks,https://cdn.snapi.dev/images/v1/s/z/60158-2394282.jpg,Zacks Investment Research,"It is imperative to build a portfolio of low-beta stocks to sail through a volatile market. Trip.com (TCOM), Stride (LRN), The Progressive (PGR) and Strategic Education (STRA) are well-poised to gain.",https://www.zacks.com/stock/news/2263307/sail-through-market-volatility-with-these-4-low-beta-stocks?cid=CS-STOCKNEWSAPI-FT-analyst_blog|rw-2263307
PGR,2024-04-25 10:37:14,Wall Street Analysts Think Progressive (PGR) Is a Good Investment: Is It?,https://cdn.snapi.dev/images/v1/f/q/default16-2391539.jpg,Zacks Investment Research,"The recommendations of Wall Street analysts are often relied on by investors when deciding whether to buy, sell, or hold a stock. Media reports about these brokerage-firm-employed (or sell-side) analysts changing their ratings often affect a stock's price.",https://www.zacks.com/stock/news/2262158/wall-street-analysts-think-progressive-pgr-is-a-good-investment-is-it?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|average_broker_rating-2262158
PGR,2024-04-24 13:01:32,Are You Looking for a Top Momentum Pick? Why Progressive (PGR) is a Great Choice,https://cdn.snapi.dev/images/v1/a/d/default10-2388937.jpg,Zacks Investment Research,Does Progressive (PGR) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://www.zacks.com/stock/news/2261508/are-you-looking-for-a-top-momentum-pick-why-progressive-pgr-is-a-great-choice?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_10-2261508
PGR,2024-04-23 13:26:09,RLI's Q1 Earnings Top Estimates on Strong Segmental Results,https://cdn.snapi.dev/images/v1/t/a/1155-2386304.jpg,Zacks Investment Research,RLI's first-quarter results reflect continued premium growth across all product segments.,https://www.zacks.com/stock/news/2260489/rli-s-q1-earnings-top-estimates-on-strong-segmental-results?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2260489
PGR,2024-04-23 09:05:23,Buy These 5 High-Flying Non-Tech Giants With More Room to Run,https://cdn.snapi.dev/images/v1/w/9/61585-2385409.jpg,Zacks Investment Research,"We have narrowed our search to five non-technology giants. These are: ETN, TM, PGR, COIN, CEG.",https://www.zacks.com/stock/news/2259911/buy-these-5-high-flying-non-tech-giants-with-more-room-to-run?cid=CS-STOCKNEWSAPI-FT-earnings_esp-2259911
PGR,2024-04-17 12:41:25,TKOMY vs. PGR: Which Stock Is the Better Value Option?,https://cdn.snapi.dev/images/v1/g/x/default30-2376517.jpg,Zacks Investment Research,Investors looking for stocks in the Insurance - Property and Casualty sector might want to consider either Tokio Marine Holdings Inc. (TKOMY) or Progressive (PGR). But which of these two companies is the best option for those looking for undervalued stocks?,https://www.zacks.com/stock/news/2257066/tkomy-vs-pgr-which-stock-is-the-better-value-option?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_3-2257066
PGR,2024-04-17 09:05:15,IMF Raises Global Growth Forecast Amid High Inflation: 5 Picks,https://cdn.snapi.dev/images/v1/s/g/1948-2375817.jpg,Zacks Investment Research,"We have narrowed our search to five U.S. corporate giants. These are: NVDA, MU, PGR, META, DIS.",https://www.zacks.com/stock/news/2256676/imf-raises-global-growth-forecast-amid-high-inflation-5-picks?cid=CS-STOCKNEWSAPI-FT-analyst_blog|investment_ideas-2256676
PGR,2024-04-16 10:05:23,Investors Heavily Search The Progressive Corporation (PGR): Here is What You Need to Know,https://cdn.snapi.dev/images/v1/d/m/default1-2373712.jpg,Zacks Investment Research,"Zacks.com users have recently been watching Progressive (PGR) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",https://www.zacks.com/stock/news/2255887/investors-heavily-search-the-progressive-corporation-pgr-here-is-what-you-need-to-know?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|most_searched_stocks-2255887
PGR,2024-04-12 16:25:41,Progressive's Income Jumps as Insurer Adds More Policies,https://cdn.snapi.dev/images/v1/i/n/inv-progressiveerns-gettyimage-2369978.jpg,Investopedia,Shares of Progressive (PGR) gained Friday after the insurance provider posted a more-than-fivefold increase in net income after adding more policies.,https://www.investopedia.com/progressive-s-income-jumps-as-the-insurer-added-more-policies-8630838
PGR,2024-04-12 12:16:04,"Progressive's (PGR) Q1 Earnings, Revenues Top, Premiums Rise Y/Y",https://cdn.snapi.dev/images/v1/4/f/2089-2369562.jpg,Zacks Investment Research,Progressive's (PGR) first-quarter 2024 results reflect year-over-year improvement in the top line.,https://www.zacks.com/stock/news/2254669/progressive-s-pgr-q1-earnings-revenues-top-premiums-rise-y-y?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2254669
