symbol,publishedDate,title,image,site,text,url
PPL,2024-04-26 18:56:07,PPL (PPL) Stock Falls Amid Market Uptick: What Investors Need to Know,https://cdn.snapi.dev/images/v1/6/c/default31-2395450.jpg,Zacks Investment Research,"In the most recent trading session, PPL (PPL) closed at $27.02, indicating a -1.03% shift from the previous trading day.",https://www.zacks.com/stock/news/2263645/ppl-ppl-stock-falls-amid-market-uptick-what-investors-need-to-know?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_6v1-2263645
PPL,2024-04-18 09:55:23,Why Investors Need to Take Advantage of These 2 Utilities Stocks Now,https://cdn.snapi.dev/images/v1/j/d/default36-2378380.jpg,Zacks Investment Research,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,https://www.zacks.com/stock/news/2257440/why-investors-need-to-take-advantage-of-these-2-utilities-stocks-now?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|zacks_education_earnings_esp-2257440
PPL,2024-04-05 19:21:08,PPL (PPL) Stock Falls Amid Market Uptick: What Investors Need to Know,https://cdn.snapi.dev/images/v1/2/k/default27-2359586.jpg,Zacks Investment Research,"In the most recent trading session, PPL (PPL) closed at $27.22, indicating a -0.22% shift from the previous trading day.",https://www.zacks.com/stock/news/2251497/ppl-ppl-stock-falls-amid-market-uptick-what-investors-need-to-know?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_6v3-2251497
PPL,2024-04-03 10:16:13,PPL's Arm Receives Approval for $326M in Infrastructure Upgrade,https://cdn.snapi.dev/images/v1/j/c/332-2354472.jpg,Zacks Investment Research,PPL announces that its subsidiary Rhode Island Energy received approval for $326 million. These investments align with PPL's goal to further strengthen its infrastructure.,https://www.zacks.com/stock/news/2249834/ppl-s-arm-receives-approval-for-326m-in-infrastructure-upgrade?cid=CS-STOCKNEWSAPI-FT-analyst_blog|company_news_-_corporate_actions-2249834
PPL,2024-04-03 04:30:05,"PPL Corporation: A Bright Outlook And Good Entry Point, Buy",https://cdn.snapi.dev/images/v1/n/w/image-1969568700-2353559.jpg,Seeking Alpha,"PPL Corporation has underperformed the S&P 500 by 27.43% in the past year, but I am bullish on the stock in the long term. The company has a robust regulatory structure and diverse utility operations, which are competitive advantages. I recommend the stock to potential investors at its current price, with a price target of $40 and an upside potential of 45.45%.",https://seekingalpha.com/article/4681883-ppl-corporation-stock-bright-outlook-good-entry-point-buy
PPL,2024-03-20 19:21:28,Here's Why PPL (PPL) Gained But Lagged the Market Today,https://cdn.snapi.dev/images/v1/w/1/default43-2334387.jpg,Zacks Investment Research,"PPL (PPL) closed at $27.05 in the latest trading session, marking a +0.11% move from the prior day.",https://www.zacks.com/stock/news/2243785/here-s-why-ppl-ppl-gained-but-lagged-the-market-today?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_6v3-2243785
PPL,2024-03-11 09:46:03,"PPL Corporation (PPL) Rides on Investments, Cost Management",https://cdn.snapi.dev/images/v1/5/6/1265-2317911.jpg,Zacks Investment Research,"PPL Corporation (PPL) is expected to further benefit from its long-term investment plan, cost savings and expanding customer base.",https://www.zacks.com/stock/news/2238651/ppl-corporation-ppl-rides-on-investments-cost-management?cid=CS-STOCKNEWSAPI-FT-analyst_blog|zer_report_update-2238651
PPL,2024-03-08 19:16:07,Why the Market Dipped But PPL (PPL) Gained Today,https://cdn.snapi.dev/images/v1/l/l/default36-2316329.jpg,Zacks Investment Research,"PPL (PPL) concluded the recent trading session at $27.18, signifying a +1.12% move from its prior day's close.",https://www.zacks.com/stock/news/2238304/why-the-market-dipped-but-ppl-ppl-gained-today?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_6v3-2238304
PPL,2024-02-16 16:11:09,PPL (PPL) Q4 Earnings Top Estimates,https://cdn.snapi.dev/images/v1/o/y/default14-2281066.jpg,Zacks Investment Research,"PPL (PPL) came out with quarterly earnings of $0.40 per share, beating the Zacks Consensus Estimate of $0.38 per share. This compares to earnings of $0.28 per share a year ago.",https://www.zacks.com/stock/news/2227564/ppl-ppl-q4-earnings-top-estimates?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_4-2227564
PPL,2024-02-16 14:16:05,"PPL's Q4 Earnings Beats Estimates, Capital Expenditure Lifted",https://cdn.snapi.dev/images/v1/u/8/42646-2280937.jpg,Zacks Investment Research,PPL's fourth-quarter earnings are better than estimates and the company continues to make substantial investment to further strengthen its existing operations.,https://www.zacks.com/stock/news/2227553/ppl-s-q4-earnings-beats-estimates-capital-expenditure-lifted?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2227553
