symbol,publishedDate,title,image,site,text,url
WM,2024-04-26 14:26:15,Best Stocks To Invest In 2024? 3 Blue Chip Stocks In Focus,https://cdn.snapi.dev/images/v1/z/r/blue-chip-stocks-1024x576-2395076.jpg,Stockmarketcom,Blue chip stocks to watch in the stock market today.,https://stockmarket.com/featured/best-stocks-to-invest-in-2024-3-blue-chip-stocks-in-focus-2024-04-26
WM,2024-04-25 12:11:20,"Waste Management (WM) Q1 Earnings Surpass Estimates, Rise Y/Y",https://cdn.snapi.dev/images/v1/o/t/180-2391957.jpg,Zacks Investment Research,Waste Management's (WM) first-quarter 2024 revenues rise year over year due to improved segmental performances.,https://www.zacks.com/stock/news/2262581/waste-management-wm-q1-earnings-surpass-estimates-rise-y-y?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2262581
WM,2024-04-24 19:35:14,Waste Management (WM) Tops Q1 Earnings Estimates,https://cdn.snapi.dev/images/v1/s/g/default16-2389931.jpg,Zacks Investment Research,"Waste Management (WM) came out with quarterly earnings of $1.75 per share, beating the Zacks Consensus Estimate of $1.52 per share. This compares to earnings of $1.31 per share a year ago.",https://www.zacks.com/stock/news/2261744/waste-management-wm-tops-q1-earnings-estimates?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_4-2261744
WM,2024-04-24 12:41:04,SRCL or WM: Which Is the Better Value Stock Right Now?,https://cdn.snapi.dev/images/v1/e/b/default33-2388863.jpg,Zacks Investment Research,Investors interested in Waste Removal Services stocks are likely familiar with Stericycle (SRCL) and Waste Management (WM). But which of these two stocks presents investors with the better value opportunity right now?,https://www.zacks.com/stock/news/2261439/srcl-or-wm-which-is-the-better-value-stock-right-now?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_3-2261439
WM,2024-04-23 05:21:16,Waste Management: is this Bill Gates-backed stock a good buy?,https://cdn.snapi.dev/images/v1/k/z/waste-management-2384735.jpeg,Invezz,"Waste Management (NYSE: WM) stock price has pulled back in the past few weeks as investors wait for the upcoming financial results. After peaking to a record high of $214.42 in March, it has retreated by over 3% to $207.",https://invezz.com/news/2024/04/23/waste-management-is-this-bill-gates-backed-stock-a-good-buy/?utm_source=snapi
WM,2024-04-20 07:00:00,"20 Years To $300k? Building A $10,000 Dividend Portfolio From Scratch",https://cdn.snapi.dev/images/v1/y/p/image-943401146-2381766.jpg,Seeking Alpha,"Focusing on consistent dividend growth can lead to higher returns in lower-risk areas. The portfolio emphasizes companies with wide-moat business models, strong financials, and a commitment to shareholder returns. Blending higher-yielding dividend stocks with those offering growth potential creates a balanced approach suitable for most investors.",https://seekingalpha.com/article/4684804-20-years-to-300k-building-a-10000-dividend-portfolio-from-scratch
WM,2024-04-19 11:40:21,Waste Management (WM) to Report Q1 Earnings: What's in Store?,https://cdn.snapi.dev/images/v1/k/2/2121-2380987.jpg,Zacks Investment Research,Waste Management's (WM) first-quarter 2024 revenues are likely to have benefited from improved disciplined organic revenue growth.,https://www.zacks.com/stock/news/2258615/waste-management-wm-to-report-q1-earnings-what-s-in-store?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_preview-2258615
WM,2024-04-19 11:17:24,Invest in the Planet: 3 Sustainable Stocks for Earth Day 2024,https://cdn.snapi.dev/images/v1/m/y/stocks-to-buy-2380944.jpg,InvestorPlace,"As Earth Day 2024 approaches, it's the perfect time to reflect on how we can invest in the planet and our future. For those looking to make a positive impact with their investments, sustainable stocks offer a compelling opportunity.",https://investorplace.com/2024/04/invest-in-the-planet-3-sustainable-stocks-for-earth-day-2024/
WM,2024-04-18 07:00:00,"Suddenly, There's An Alternative - The Important Case For Wide Moat Dividend Stocks",https://cdn.snapi.dev/images/v1/v/g/image-157605812-2377702.jpg,Seeking Alpha,"Short-term bonds currently yield more than stocks, indicating a shift in the investment environment. Investors should focus on companies with healthy balance sheets, pricing power, and that are trading below their fair value. We suggest several favorite wide-moat dividend businesses.",https://seekingalpha.com/article/4684303-suddenly-theres-an-alternative-the-important-case-for-wide-moat-dividend-stocks
WM,2024-04-18 04:31:29,Here's how much Bill Gates earns from dividends,https://cdn.snapi.dev/images/v1/u/s/heres-how-much-bill-gates-earn-2377515.jpg,Finbold,"Bill Gates, a renowned billionaire, prioritizes dividend income in his investment strategy. Gates is projected to raise an impressive $463.2 million in dividends this year, reflecting his commitment to secure and consistent long-term income.",https://finbold.com/heres-how-much-bill-gates-earns-from-dividends/?utm_source=snapi
WM,2024-04-12 14:56:06,Waste Management (WM) Shares Gain 30% in 6 Months: Here's How,https://cdn.snapi.dev/images/v1/9/i/2121-2369836.jpg,Zacks Investment Research,Commitment to shareholder returns makes Waste Management (WM) a reliable way for investors to compound wealth over the long term.,https://www.zacks.com/stock/news/2254805/waste-management-wm-shares-gain-30-in-6-months-here-s-how?cid=CS-STOCKNEWSAPI-FT-analyst_blog|price_surge_/_plunge-2254805
WM,2024-04-11 16:50:56,Forever Stocks: 3 Tremendous Growth Picks to Buy and Never Sell,https://cdn.snapi.dev/images/v1/m/b/growthstocks-1600-02-2368251.jpg,InvestorPlace,You should only buy stocks you intend to never sell. That doesn't mean you won't sell them.,https://investorplace.com/2024/04/forever-stocks-3-tremendous-growth-picks-to-buy-and-never-sell/
WM,2024-04-10 19:21:16,Waste Management (WM) Rises As Market Takes a Dip: Key Facts,https://cdn.snapi.dev/images/v1/q/u/default24-2366446.jpg,Zacks Investment Research,"The latest trading day saw Waste Management (WM) settling at $208.20, representing a +0.83% change from its previous close.",https://www.zacks.com/stock/news/2253702/waste-management-wm-rises-as-market-takes-a-dip-key-facts?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_6v3-2253702
WM,2024-04-08 12:41:17,SRCL vs. WM: Which Stock Is the Better Value Option?,https://cdn.snapi.dev/images/v1/s/u/default6-2361526.jpg,Zacks Investment Research,Investors interested in stocks from the Waste Removal Services sector have probably already heard of Stericycle (SRCL) and Waste Management (WM). But which of these two companies is the best option for those looking for undervalued stocks?,https://www.zacks.com/stock/news/2252074/srcl-vs-wm-which-stock-is-the-better-value-option?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_3-2252074
WM,2024-04-02 11:06:07,Growth Strategies Aid Waste Management (WM) Amid Competition,https://cdn.snapi.dev/images/v1/5/0/17087-2352529.jpg,Zacks Investment Research,Waste Management (WM) is benefiting from its focus on differentiation and continuous improvement amid competition and financing costs.,https://www.zacks.com/stock/news/2249210/growth-strategies-aid-waste-management-wm-amid-competition?cid=CS-STOCKNEWSAPI-FT-analyst_blog|zer_report_update-2249210
WM,2024-04-01 13:55:17,7 Defensive Stocks to Buy Based on the ‘Pawn Shop Indicator',https://cdn.snapi.dev/images/v1/l/h/defensivestocks1600-2350378.png,InvestorPlace,It's usually never a bad idea to consider defensive stocks to buy. They're not sexy and they probably won't make you rich.,https://investorplace.com/2024/04/7-defensive-stocks-to-buy-based-on-the-pawn-shop-indicator/
WM,2024-04-01 10:46:18,Here's Why Waste Management (WM) is a Strong Growth Stock,https://cdn.snapi.dev/images/v1/2/f/default40-2349966.jpg,Zacks Investment Research,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",https://www.zacks.com/stock/news/2248382/here-s-why-waste-management-wm-is-a-strong-growth-stock?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|zacks_education_growth_score-2248382
WM,2024-03-23 17:03:00,3 Dividend Stocks That Are Too Successful for Their Own Good,https://cdn.snapi.dev/images/v1/u/r/urlhttps3a2f2fgfoolcdncom2fedi-2338661.jpg,The Motley Fool,Walmart and WM are ramping up capital expenditures and investing in long-term growth. Sherwin-Williams has proven its pandemic-induced sales spike was not a one-off occurrence.,https://www.fool.com/investing/2024/03/23/3-dividend-stocks-too-successful-low-yield/
WM,2024-03-21 12:41:11,SRCL or WM: Which Is the Better Value Stock Right Now?,https://cdn.snapi.dev/images/v1/3/b/default5-2335936.jpg,Zacks Investment Research,Investors with an interest in Waste Removal Services stocks have likely encountered both Stericycle (SRCL) and Waste Management (WM). But which of these two stocks offers value investors a better bang for their buck right now?,https://www.zacks.com/stock/news/2244253/srcl-or-wm-which-is-the-better-value-stock-right-now?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_3-2244253
WM,2024-03-20 16:10:00,WM Sets Date for First Quarter Earnings Release Conference Call,https://cdn.snapi.dev/images/v1/n/q/conf8-2334018.jpg,Business Wire,"HOUSTON--(BUSINESS WIRE)--WM (NYSE: WM) announced that it will release first quarter financial results after the close of the market on Wednesday, April 24, 2024 and host its investor conference call Thursday, April 25 at 10 a.m. ET. Listeners can access a live audio webcast of the conference call by visiting investors.wm.com and selecting “Events & Presentations” from the website menu. A replay of the audio webcast will be available at the same location following the conclusion of the call.",https://www.businesswire.com/news/home/20240320853728/en/WM-Sets-Date-for-First-Quarter-Earnings-Release-Conference-Call/
WM,2024-03-19 18:58:25,Steady Returns Ahead: 3 Dividend Stocks for Long-Term Investors,https://cdn.snapi.dev/images/v1/1/v/dividends-1600-kid-2332133.jpg,InvestorPlace,"Dividend stocks at the present juncture might seem an overly conservative approach. After all, the market still appears enamored with artificial intelligence, cryptocurrencies and other risk-on investment categories.",https://investorplace.com/2024/03/steady-returns-ahead-3-dividend-stocks-for-long-term-investors/
WM,2024-03-15 12:36:01,The 3 Most Undervalued Long-Term Stocks to Buy in March 2024,https://cdn.snapi.dev/images/v1/y/6/long-term-stocks-2326940.jpg,InvestorPlace,"With volatility on the horizon, investors can discover the best undervalued long-term stocks to buy. These companies are often considered ‘boring' and possess strong industry fundamentals.",https://investorplace.com/2024/03/the-3-most-undervalued-long-term-stocks-to-buy-in-march-2024/
WM,2024-03-13 12:36:11,Why Is Waste Management (WM) Up 5.2% Since Last Earnings Report?,https://cdn.snapi.dev/images/v1/u/r/default20-2322712.jpg,Zacks Investment Research,Waste Management (WM) reported earnings 30 days ago. What's next for the stock?,https://www.zacks.com/stock/news/2240082/why-is-waste-management-wm-up-5-2-since-last-earnings-report?cid=CS-STOCKNEWSAPI-FT-realtime_blog-2240082
WM,2024-03-11 14:06:04,Waste Management (WM) Shares Gain 37% in a Year: Here's How,https://cdn.snapi.dev/images/v1/g/u/2121-2318469.jpg,Zacks Investment Research,Waste Management (WM) has a consistent record of rewarding its shareholders through dividends and share repurchases.,https://www.zacks.com/stock/news/2238834/waste-management-wm-shares-gain-37-in-a-year-here-s-how?cid=CS-STOCKNEWSAPI-FT-analyst_blog|price_surge_/_plunge-2238834
